[dyck_boundary] a=3.00 wd=0.30 k=0 inj=uniform  s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=3.00 wd=0.30 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=0.30 k=0 inj=uniform  s2 | unif= 0.702 hi= 0.655 lo= 0.720 | PARTIAL (103s)
[dyck_boundary] a=3.00 wd=0.30 k=0 inj=uniform  s3 | unif= 0.955 hi= 0.995 lo= 0.939 | GROK (104s)
[dyck_boundary] a=3.00 wd=0.30 k=0 inj=uniform  s4 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=0.30 k=0 inj=uniform  s5 | unif= 0.999 hi= 1.000 lo= 0.997 | GROK (103s)
[dyck_boundary] a=3.00 wd=0.30 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=0.30 k=0 inj=uniform  s7 | unif= 0.903 hi= 0.999 lo= 0.848 | GROK (103s)
[dyck_boundary] a=3.00 wd=0.30 k=0 inj=uniform  s8 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=3.00 wd=0.30 k=0 inj=uniform  s9 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=3.00 wd=0.50 k=0 inj=uniform  s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=3.00 wd=0.50 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=0.50 k=0 inj=uniform  s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=0.50 k=0 inj=uniform  s3 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=0.50 k=0 inj=uniform  s4 | unif= 0.940 hi= 1.000 lo= 0.890 | GROK (103s)
[dyck_boundary] a=3.00 wd=0.50 k=0 inj=uniform  s5 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=0.50 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=3.00 wd=0.50 k=0 inj=uniform  s7 | unif= 0.865 hi= 0.978 lo= 0.812 | PARTIAL (103s)
[dyck_boundary] a=3.00 wd=0.50 k=0 inj=uniform  s8 | unif= 0.985 hi= 0.994 lo= 0.983 | GROK (102s)
[dyck_boundary] a=3.00 wd=0.50 k=0 inj=uniform  s9 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=3.00 wd=0.70 k=0 inj=uniform  s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.00 wd=0.70 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
