a=0.00 wd=0.30 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (52s)
a=0.00 wd=0.30 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (52s)
a=0.00 wd=0.30 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=0.00 wd=0.50 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=0.00 wd=0.50 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (52s)
a=0.00 wd=0.50 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=0.00 wd=0.80 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (52s)
a=0.00 wd=0.80 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (52s)
a=0.00 wd=0.80 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=0.00 wd=1.00 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (52s)
a=0.00 wd=1.00 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=0.00 wd=1.00 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=0.00 wd=1.50 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (52s)
a=0.00 wd=1.50 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=0.00 wd=1.50 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=2.00 wd=0.30 s0 | unif= 0.953 hi= 0.997 lo= 0.915 | GROK (52s)
a=2.00 wd=0.30 s1 | unif= 0.954 hi= 0.999 lo= 0.916 | GROK (51s)
a=2.00 wd=0.30 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=2.00 wd=0.50 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=2.00 wd=0.50 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=2.00 wd=0.50 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=2.00 wd=0.80 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (52s)
a=2.00 wd=0.80 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (52s)
a=2.00 wd=0.80 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=2.00 wd=1.00 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=2.00 wd=1.00 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=2.00 wd=1.00 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
a=2.00 wd=1.50 s0 | unif= 0.989 hi= 1.000 lo= 0.978 | GROK (51s)
a=2.00 wd=1.50 s1 | unif= 0.861 hi= 0.968 lo= 0.806 | PARTIAL (52s)
a=2.00 wd=1.50 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (52s)
a=4.00 wd=0.30 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (51s)
