[d=32] a=2.5 wd=0.085 s0 | unif=0.467 hi=0.996 | TRAP (92s)
[d=32] a=2.5 wd=0.085 s1 | unif=0.547 hi=0.998 | PARTIAL (92s)
[d=32] a=2.5 wd=0.085 s2 | unif=0.270 hi=0.985 | TRAP (92s)
[d=32] a=2.5 wd=0.085 s3 | unif=0.263 hi=0.988 | TRAP (94s)
[d=32] a=2.5 wd=0.085 s4 | unif=0.376 hi=0.989 | TRAP (91s)
[d=128] a=2.5 wd=0.085 s0 | unif=0.895 hi=0.998 | PARTIAL (98s)
[d=128] a=2.5 wd=0.085 s1 | unif=0.914 hi=1.000 | GROK (97s)
[d=128] a=2.5 wd=0.085 s2 | unif=0.989 hi=1.000 | GROK (98s)
[d=128] a=2.5 wd=0.085 s3 | unif=0.993 hi=1.000 | GROK (98s)
[d=128] a=2.5 wd=0.085 s4 | unif=0.961 hi=1.000 | GROK (98s)
[lr=0.0005] a=2.5 wd=0.085 s0 | unif=0.946 hi=1.000 | GROK (93s)
[lr=0.0005] a=2.5 wd=0.085 s1 | unif=0.961 hi=1.000 | GROK (94s)
[lr=0.0005] a=2.5 wd=0.085 s2 | unif=0.995 hi=1.000 | GROK (92s)
[lr=0.0005] a=2.5 wd=0.085 s3 | unif=0.980 hi=1.000 | GROK (92s)
[lr=0.0005] a=2.5 wd=0.085 s4 | unif=0.968 hi=1.000 | GROK (94s)
[lr=0.002] a=2.5 wd=0.085 s0 | unif=0.898 hi=1.000 | PARTIAL (93s)
[lr=0.002] a=2.5 wd=0.085 s1 | unif=0.798 hi=0.996 | PARTIAL (92s)
[lr=0.002] a=2.5 wd=0.085 s2 | unif=0.626 hi=0.996 | PARTIAL (93s)
[lr=0.002] a=2.5 wd=0.085 s3 | unif=0.969 hi=1.000 | GROK (93s)
[lr=0.002] a=2.5 wd=0.085 s4 | unif=0.935 hi=0.999 | GROK (93s)
[d=32,lr=0.0005] a=2.5 wd=0.085 s0 | unif=0.377 hi=0.995 | TRAP (92s)
[d=32,lr=0.0005] a=2.5 wd=0.085 s1 | unif=0.622 hi=1.000 | PARTIAL (92s)
[d=32,lr=0.0005] a=2.5 wd=0.085 s2 | unif=0.415 hi=1.000 | TRAP (93s)
[d=32,lr=0.0005] a=2.5 wd=0.085 s3 | unif=0.385 hi=0.999 | TRAP (92s)
[d=32,lr=0.0005] a=2.5 wd=0.085 s4 | unif=0.419 hi=0.999 | TRAP (91s)
[d=128,lr=0.002] a=2.5 wd=0.085 s0 | unif=0.895 hi=0.995 | PARTIAL (97s)
[d=128,lr=0.002] a=2.5 wd=0.085 s1 | unif=0.850 hi=0.999 | PARTIAL (98s)
[d=128,lr=0.002] a=2.5 wd=0.085 s2 | unif=0.971 hi=1.000 | GROK (99s)
[d=128,lr=0.002] a=2.5 wd=0.085 s3 | unif=0.973 hi=0.999 | GROK (98s)
[d=128,lr=0.002] a=2.5 wd=0.085 s4 | unif=0.963 hi=0.999 | GROK (98s)
[layers=1] a=2.5 wd=0.085 s0 | unif=0.547 hi=0.989 | PARTIAL (65s)
[layers=1] a=2.5 wd=0.085 s1 | unif=0.746 hi=0.991 | PARTIAL (64s)
[layers=1] a=2.5 wd=0.085 s2 | unif=0.781 hi=0.993 | PARTIAL (64s)
[layers=1] a=2.5 wd=0.085 s3 | unif=0.902 hi=1.000 | GROK (64s)
[layers=1] a=2.5 wd=0.085 s4 | unif=0.680 hi=0.997 | PARTIAL (64s)
[layers=3] a=2.5 wd=0.085 s0 | unif=0.971 hi=0.996 | GROK (121s)
[layers=3] a=2.5 wd=0.085 s1 | unif=0.977 hi=1.000 | GROK (122s)
[layers=3] a=2.5 wd=0.085 s2 | unif=0.982 hi=1.000 | GROK (123s)
[layers=3] a=2.5 wd=0.085 s3 | unif=0.978 hi=1.000 | GROK (121s)
[layers=3] a=2.5 wd=0.085 s4 | unif=0.962 hi=0.999 | GROK (120s)
