a=3.00 wd=0.30 k=0 inj=uniform  s0 | unif= 0.373 hi= 1.000 lo= 0.211 | TRAP (32s)
a=3.00 wd=0.30 k=0 inj=uniform  s1 | unif= 0.436 hi= 1.000 lo= 0.246 | TRAP (32s)
a=3.00 wd=0.30 k=0 inj=uniform  s2 | unif= 0.430 hi= 1.000 lo= 0.256 | TRAP (31s)
a=3.00 wd=0.30 k=1 inj=uniform  s0 | unif= 0.885 hi= 1.000 lo= 0.857 | PARTIAL (32s)
a=3.00 wd=0.30 k=1 inj=uniform  s1 | unif= 0.994 hi= 1.000 lo= 0.991 | GROK (32s)
a=3.00 wd=0.30 k=1 inj=uniform  s2 | unif= 0.997 hi= 1.000 lo= 0.996 | GROK (32s)
a=3.00 wd=0.30 k=1 inj=uniform  s3 | unif= 0.872 hi= 1.000 lo= 0.827 | PARTIAL (32s)
a=3.00 wd=0.30 k=1 inj=uniform  s4 | unif= 0.921 hi= 1.000 lo= 0.866 | GROK (32s)
a=3.00 wd=0.30 k=1 inj=tail     s0 | unif= 0.753 hi= 1.000 lo= 0.641 | PARTIAL (32s)
a=3.00 wd=0.30 k=1 inj=tail     s1 | unif= 0.759 hi= 1.000 lo= 0.640 | PARTIAL (32s)
a=3.00 wd=0.30 k=1 inj=tail     s2 | unif= 0.759 hi= 1.000 lo= 0.629 | PARTIAL (32s)
a=3.00 wd=0.30 k=1 inj=tail     s3 | unif= 0.653 hi= 1.000 lo= 0.525 | PARTIAL (32s)
a=3.00 wd=0.30 k=1 inj=tail     s4 | unif= 0.680 hi= 1.000 lo= 0.542 | PARTIAL (32s)
a=3.00 wd=0.30 k=1 inj=head     s0 | unif= 0.381 hi= 1.000 lo= 0.209 | TRAP (32s)
a=3.00 wd=0.30 k=1 inj=head     s1 | unif= 0.390 hi= 1.000 lo= 0.215 | TRAP (33s)
a=3.00 wd=0.30 k=1 inj=head     s2 | unif= 0.443 hi= 1.000 lo= 0.261 | TRAP (32s)
a=3.00 wd=0.30 k=1 inj=head     s3 | unif= 0.392 hi= 1.000 lo= 0.216 | TRAP (32s)
a=3.00 wd=0.30 k=1 inj=head     s4 | unif= 0.376 hi= 1.000 lo= 0.197 | TRAP (32s)

done: 18 runs, 574s -> results/m12_modadd_targeted.json
