a=2.50 q=0.10 (E[dose]=0.078%) s0 | unif=0.728 hi=0.955 | PARTIAL (117s)
a=2.50 q=0.10 (E[dose]=0.078%) s1 | unif=0.509 hi=0.867 | PARTIAL (91s)
a=2.50 q=0.10 (E[dose]=0.078%) s2 | unif=0.517 hi=0.944 | PARTIAL (91s)
a=2.50 q=0.10 (E[dose]=0.078%) s3 | unif=0.621 hi=0.929 | PARTIAL (92s)
a=2.50 q=0.10 (E[dose]=0.078%) s4 | unif=0.574 hi=0.958 | PARTIAL (91s)
a=2.50 q=0.10 (E[dose]=0.078%) s5 | unif=0.272 hi=0.859 | CRUSH (91s)
a=2.50 q=0.10 (E[dose]=0.078%) s6 | unif=0.566 hi=0.896 | PARTIAL (91s)
a=2.50 q=0.10 (E[dose]=0.078%) s7 | unif=0.622 hi=0.934 | PARTIAL (91s)
a=2.50 q=0.25 (E[dose]=0.195%) s0 | unif=0.795 hi=0.916 | PARTIAL (92s)
a=2.50 q=0.25 (E[dose]=0.195%) s1 | unif=0.807 hi=0.951 | PARTIAL (92s)
a=2.50 q=0.25 (E[dose]=0.195%) s2 | unif=0.770 hi=0.935 | PARTIAL (91s)
a=2.50 q=0.25 (E[dose]=0.195%) s3 | unif=0.706 hi=0.973 | PARTIAL (92s)
a=2.50 q=0.25 (E[dose]=0.195%) s4 | unif=0.789 hi=0.935 | PARTIAL (92s)
a=2.50 q=0.25 (E[dose]=0.195%) s5 | unif=0.860 hi=0.950 | PARTIAL (92s)
a=2.50 q=0.25 (E[dose]=0.195%) s6 | unif=0.806 hi=0.948 | PARTIAL (91s)
a=2.50 q=0.25 (E[dose]=0.195%) s7 | unif=0.271 hi=0.885 | CRUSH (91s)
a=2.50 q=0.50 (E[dose]=0.391%) s0 | unif=0.921 hi=0.981 | GROK (91s)
a=2.50 q=0.50 (E[dose]=0.391%) s1 | unif=0.939 hi=0.983 | GROK (91s)
a=2.50 q=0.50 (E[dose]=0.391%) s2 | unif=0.904 hi=0.948 | GROK (91s)
a=2.50 q=0.50 (E[dose]=0.391%) s3 | unif=0.899 hi=0.959 | PARTIAL (92s)
a=2.50 q=0.50 (E[dose]=0.391%) s4 | unif=0.883 hi=0.970 | PARTIAL (92s)
a=2.50 q=0.50 (E[dose]=0.391%) s5 | unif=0.798 hi=0.956 | PARTIAL (91s)
a=2.50 q=0.50 (E[dose]=0.391%) s6 | unif=0.865 hi=0.976 | PARTIAL (91s)
a=2.50 q=0.50 (E[dose]=0.391%) s7 | unif=0.883 hi=0.964 | PARTIAL (93s)
a=2.50 q=0.75 (E[dose]=0.586%) s0 | unif=0.972 hi=0.992 | GROK (92s)
a=2.50 q=0.75 (E[dose]=0.586%) s1 | unif=0.962 hi=0.988 | GROK (92s)
a=2.50 q=0.75 (E[dose]=0.586%) s2 | unif=0.959 hi=0.986 | GROK (92s)
a=2.50 q=0.75 (E[dose]=0.586%) s3 | unif=0.940 hi=0.981 | GROK (92s)
a=2.50 q=0.75 (E[dose]=0.586%) s4 | unif=0.945 hi=0.974 | GROK (92s)
a=2.50 q=0.75 (E[dose]=0.586%) s5 | unif=0.943 hi=0.978 | GROK (91s)
a=2.50 q=0.75 (E[dose]=0.586%) s6 | unif=0.918 hi=0.963 | GROK (91s)
a=2.50 q=0.75 (E[dose]=0.586%) s7 | unif=0.893 hi=0.957 | PARTIAL (92s)
a=2.50 q=1.00 (E[dose]=0.781%) s0 | unif=0.936 hi=0.973 | GROK (92s)
a=2.50 q=1.00 (E[dose]=0.781%) s1 | unif=0.867 hi=0.956 | PARTIAL (91s)
a=2.50 q=1.00 (E[dose]=0.781%) s2 | unif=0.983 hi=0.997 | GROK (91s)
a=2.50 q=1.00 (E[dose]=0.781%) s3 | unif=0.961 hi=0.979 | GROK (91s)
a=2.50 q=1.00 (E[dose]=0.781%) s4 | unif=0.970 hi=0.988 | GROK (92s)
a=2.50 q=1.00 (E[dose]=0.781%) s5 | unif=0.953 hi=0.984 | GROK (91s)
a=2.50 q=1.00 (E[dose]=0.781%) s6 | unif=0.944 hi=0.980 | GROK (92s)
a=2.50 q=1.00 (E[dose]=0.781%) s7 | unif=0.958 hi=0.980 | GROK (91s)
a=2.75 q=0.10 (E[dose]=0.078%) s0 | unif=0.288 hi=0.802 | CRUSH (91s)
a=2.75 q=0.10 (E[dose]=0.078%) s1 | unif=0.593 hi=0.869 | PARTIAL (92s)
a=2.75 q=0.10 (E[dose]=0.078%) s2 | unif=0.741 hi=0.920 | PARTIAL (91s)
a=2.75 q=0.10 (E[dose]=0.078%) s3 | unif=0.193 hi=0.715 | CRUSH (92s)
a=2.75 q=0.10 (E[dose]=0.078%) s4 | unif=0.224 hi=0.757 | CRUSH (91s)
a=2.75 q=0.10 (E[dose]=0.078%) s5 | unif=0.647 hi=0.941 | PARTIAL (91s)
a=2.75 q=0.10 (E[dose]=0.078%) s6 | unif=0.535 hi=0.863 | PARTIAL (91s)
a=2.75 q=0.10 (E[dose]=0.078%) s7 | unif=0.536 hi=0.957 | PARTIAL (91s)
a=2.75 q=0.25 (E[dose]=0.195%) s0 | unif=0.362 hi=0.697 | CRUSH (92s)
a=2.75 q=0.25 (E[dose]=0.195%) s1 | unif=0.732 hi=0.880 | PARTIAL (91s)
a=2.75 q=0.25 (E[dose]=0.195%) s2 | unif=0.863 hi=0.947 | PARTIAL (91s)
