K= 102 s0 | unif=0.805 hi=0.968 | PARTIAL (94s)
K= 102 s1 | unif=0.771 hi=0.933 | PARTIAL (94s)
K= 102 s2 | unif=0.597 hi=0.935 | PARTIAL (93s)
K= 102 s3 | unif=0.796 hi=0.972 | PARTIAL (93s)
K= 102 s4 | unif=0.694 hi=0.975 | PARTIAL (93s)
K= 102 s5 | unif=0.635 hi=0.958 | PARTIAL (94s)
K= 102 s6 | unif=0.872 hi=0.986 | PARTIAL (93s)
K= 102 s7 | unif=0.829 hi=0.986 | PARTIAL (93s)
K= 300 s0 | unif=0.827 hi=0.960 | PARTIAL (93s)
K= 300 s1 | unif=0.821 hi=0.933 | PARTIAL (94s)
K= 300 s2 | unif=0.880 hi=0.979 | PARTIAL (93s)
K= 300 s3 | unif=0.848 hi=0.971 | PARTIAL (93s)
K= 300 s4 | unif=0.942 hi=0.989 | GROK (93s)
K= 300 s5 | unif=0.824 hi=0.985 | PARTIAL (93s)
K= 300 s6 | unif=0.865 hi=0.983 | PARTIAL (93s)
K= 300 s7 | unif=0.810 hi=0.961 | PARTIAL (93s)
K= 600 s0 | unif=0.967 hi=0.990 | GROK (93s)
K= 600 s1 | unif=0.927 hi=0.978 | GROK (93s)
K= 600 s2 | unif=0.945 hi=0.978 | GROK (93s)
K= 600 s3 | unif=0.959 hi=0.978 | GROK (93s)
K= 600 s4 | unif=0.917 hi=0.973 | GROK (93s)
K= 600 s5 | unif=0.960 hi=0.983 | GROK (93s)
K= 600 s6 | unif=0.944 hi=0.986 | GROK (93s)
K= 600 s7 | unif=0.960 hi=0.983 | GROK (93s)
K= 992 s0 | unif=0.884 hi=0.978 | PARTIAL (93s)
K= 992 s1 | unif=0.950 hi=0.979 | GROK (93s)
K= 992 s2 | unif=0.928 hi=0.959 | GROK (93s)
K= 992 s3 | unif=0.948 hi=0.978 | GROK (94s)
K= 992 s4 | unif=0.992 hi=0.999 | GROK (93s)
K= 992 s5 | unif=0.949 hi=0.978 | GROK (93s)
K= 992 s6 | unif=0.975 hi=0.997 | GROK (93s)
K= 992 s7 | unif=0.968 hi=0.983 | GROK (93s)

done: 32 runs, 2980s -> results/m14_breadth_composition.json
