[m1_n10_boundary] a=2.00 wd=0.310 k=0 inj=unif b=128 B=60k s0 | unif= 0.759 hi= 0.993 | PARTIAL
[m1_n10_boundary] a=2.00 wd=0.310 k=0 inj=unif b=128 B=60k s1 | unif= 0.932 hi= 0.999 | GROK
[m1_n10_boundary] a=2.00 wd=0.310 k=0 inj=unif b=128 B=60k s2 | unif= 0.845 hi= 0.997 | PARTIAL
[m1_n10_boundary] a=2.00 wd=0.310 k=0 inj=unif b=128 B=60k s3 | unif= 0.907 hi= 0.999 | GROK
[m1_n10_boundary] a=2.00 wd=0.310 k=0 inj=unif b=128 B=60k s4 | unif= 0.963 hi= 0.999 | GROK
[m1_n10_boundary] a=2.10 wd=0.190 k=0 inj=unif b=128 B=60k s0 | unif= 0.922 hi= 0.998 | GROK
[m1_n10_boundary] a=2.10 wd=0.190 k=0 inj=unif b=128 B=60k s1 | unif= 0.964 hi= 0.998 | GROK
[m1_n10_boundary] a=2.10 wd=0.190 k=0 inj=unif b=128 B=60k s2 | unif= 0.843 hi= 0.997 | PARTIAL
[m1_n10_boundary] a=2.10 wd=0.190 k=0 inj=unif b=128 B=60k s3 | unif= 0.818 hi= 0.997 | PARTIAL
[m1_n10_boundary] a=2.10 wd=0.190 k=0 inj=unif b=128 B=60k s4 | unif= 0.957 hi= 0.999 | GROK
[m1_n10_boundary] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s0 | unif= 0.888 hi= 0.999 | PARTIAL
[m1_n10_boundary] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s1 | unif= 0.446 hi= 0.993 | TRAP
[m1_n10_boundary] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s2 | unif= 0.986 hi= 1.000 | GROK
[m1_n10_boundary] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s3 | unif= 0.954 hi= 1.000 | GROK
[m1_n10_boundary] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s4 | unif= 0.990 hi= 1.000 | GROK
[m1_n10_boundary] a=2.40 wd=0.110 k=0 inj=unif b=128 B=60k s0 | unif= 0.953 hi= 1.000 | GROK
[m1_n10_boundary] a=2.40 wd=0.110 k=0 inj=unif b=128 B=60k s1 | unif= 0.994 hi= 0.999 | GROK
[m1_n10_boundary] a=2.40 wd=0.110 k=0 inj=unif b=128 B=60k s2 | unif= 0.997 hi= 1.000 | GROK
[m1_n10_boundary] a=2.40 wd=0.110 k=0 inj=unif b=128 B=60k s3 | unif= 0.985 hi= 1.000 | GROK
[m1_n10_boundary] a=2.40 wd=0.110 k=0 inj=unif b=128 B=60k s4 | unif= 0.983 hi= 1.000 | GROK
[m1_n10_boundary] a=2.50 wd=0.085 k=0 inj=unif b=128 B=60k s0 | unif= 0.987 hi= 1.000 | GROK
[m1_n10_boundary] a=2.50 wd=0.085 k=0 inj=unif b=128 B=60k s1 | unif= 0.959 hi= 1.000 | GROK
[m1_n10_boundary] a=2.50 wd=0.085 k=0 inj=unif b=128 B=60k s2 | unif= 0.986 hi= 0.999 | GROK
[m1_n10_boundary] a=2.50 wd=0.085 k=0 inj=unif b=128 B=60k s3 | unif= 0.956 hi= 1.000 | GROK
[m1_n10_boundary] a=2.50 wd=0.085 k=0 inj=unif b=128 B=60k s4 | unif= 0.984 hi= 1.000 | GROK
[m1_n10_boundary] a=2.60 wd=0.065 k=0 inj=unif b=128 B=60k s0 | unif= 0.977 hi= 1.000 | GROK
[m1_n10_boundary] a=2.60 wd=0.065 k=0 inj=unif b=128 B=60k s1 | unif= 0.971 hi= 1.000 | GROK
[m1_n10_boundary] a=2.60 wd=0.065 k=0 inj=unif b=128 B=60k s2 | unif= 0.986 hi= 1.000 | GROK
[m1_n10_boundary] a=2.60 wd=0.065 k=0 inj=unif b=128 B=60k s3 | unif= 0.936 hi= 1.000 | GROK
[m1_n10_boundary] a=2.60 wd=0.065 k=0 inj=unif b=128 B=60k s4 | unif= 0.994 hi= 1.000 | GROK
[m1_n10_boundary] a=2.70 wd=0.040 k=0 inj=unif b=128 B=60k s0 | unif= 0.977 hi= 1.000 | GROK
[m1_n10_boundary] a=2.70 wd=0.040 k=0 inj=unif b=128 B=60k s1 | unif= 0.896 hi= 0.996 | PARTIAL
[m1_n10_boundary] a=2.70 wd=0.040 k=0 inj=unif b=128 B=60k s2 | unif= 0.927 hi= 1.000 | GROK
[m1_n10_boundary] a=2.70 wd=0.040 k=0 inj=unif b=128 B=60k s3 | unif= 0.926 hi= 1.000 | GROK
[m1_n10_boundary] a=2.70 wd=0.040 k=0 inj=unif b=128 B=60k s4 | unif= 0.911 hi= 1.000 | GROK
[m1_n10_boundary] a=2.70 wd=0.050 k=0 inj=unif b=128 B=60k s0 | unif= 0.864 hi= 1.000 | PARTIAL
[m1_n10_boundary] a=2.70 wd=0.050 k=0 inj=unif b=128 B=60k s1 | unif= 0.891 hi= 1.000 | PARTIAL
[m1_n10_boundary] a=2.70 wd=0.050 k=0 inj=unif b=128 B=60k s2 | unif= 0.986 hi= 1.000 | GROK
[m1_n10_boundary] a=2.70 wd=0.050 k=0 inj=unif b=128 B=60k s3 | unif= 0.921 hi= 0.999 | GROK
[m1_n10_boundary] a=2.70 wd=0.050 k=0 inj=unif b=128 B=60k s4 | unif= 0.848 hi= 1.000 | PARTIAL
[m1_n10_boundary] a=2.70 wd=0.060 k=0 inj=unif b=128 B=60k s0 | unif= 0.892 hi= 1.000 | PARTIAL
