[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=64  B=120k s0 | unif= 0.368 hi= 0.932 | TRAP
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=64  B=120k s1 | unif= 0.365 hi= 0.964 | TRAP
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=64  B=120k s2 | unif= 0.475 hi= 0.934 | TRAP
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=64  B=120k s3 | unif= 0.345 hi= 0.948 | TRAP
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=64  B=120k s4 | unif= 0.460 hi= 0.956 | TRAP
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=64  B=120k s0 | unif= 0.980 hi= 0.993 | GROK
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=64  B=120k s1 | unif= 0.987 hi= 0.992 | GROK
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=64  B=120k s2 | unif= 0.985 hi= 0.994 | GROK
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=64  B=120k s3 | unif= 0.988 hi= 0.995 | GROK
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=64  B=120k s4 | unif= 0.989 hi= 0.996 | GROK
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=128 B=60k s0 | unif= 0.365 hi= 0.942 | TRAP
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=128 B=60k s1 | unif= 0.167 hi= 0.829 | CRUSH
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=128 B=60k s2 | unif= 0.256 hi= 0.916 | TRAP
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=128 B=60k s3 | unif= 0.294 hi= 0.901 | TRAP
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=128 B=60k s4 | unif= 0.286 hi= 0.897 | CRUSH
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=128 B=60k s0 | unif= 0.956 hi= 0.977 | GROK
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=128 B=60k s1 | unif= 0.969 hi= 0.987 | GROK
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=128 B=60k s2 | unif= 0.935 hi= 0.980 | GROK
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=128 B=60k s3 | unif= 0.957 hi= 0.977 | GROK
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=128 B=60k s4 | unif= 0.965 hi= 0.985 | GROK
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=256 B=30k s0 | unif= 0.159 hi= 0.806 | CRUSH
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=256 B=30k s1 | unif= 0.286 hi= 0.954 | TRAP
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=256 B=30k s2 | unif= 0.042 hi= 0.407 | CRUSH
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=256 B=30k s3 | unif= 0.089 hi= 0.652 | CRUSH
[m2a_k_vs_p] a=2.50 wd=0.300 k=0 inj=unif b=256 B=30k s4 | unif= 0.134 hi= 0.744 | CRUSH
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=256 B=30k s0 | unif= 0.826 hi= 0.916 | PARTIAL
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=256 B=30k s1 | unif= 0.913 hi= 0.979 | GROK
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=256 B=30k s2 | unif= 0.942 hi= 0.987 | GROK
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=256 B=30k s3 | unif= 0.195 hi= 0.708 | CRUSH
[m2a_k_vs_p] a=2.50 wd=0.300 k=1 inj=unif b=256 B=30k s4 | unif= 0.401 hi= 0.797 | CRUSH
[m2a_k_vs_p] done: 30 runs, 3282s
[m2b_targeted] a=2.50 wd=0.300 k=1 inj=unif b=128 B=60k s0 | unif= 0.956 hi= 0.977 | GROK
[m2b_targeted] a=2.50 wd=0.300 k=1 inj=unif b=128 B=60k s1 | unif= 0.969 hi= 0.987 | GROK
