[m5_robust] a=2.50 wd=0.050 k=0 inj=unif b=128 B=60k s0 | unif= 0.545 hi= 1.000 | PARTIAL d=32 lr=0.001
[m5_robust] a=2.50 wd=0.050 k=0 inj=unif b=128 B=60k s1 | unif= 0.614 hi= 0.999 | PARTIAL d=32 lr=0.001
[m5_robust] a=2.50 wd=0.050 k=0 inj=unif b=128 B=60k s2 | unif= 0.919 hi= 1.000 | GROK d=32 lr=0.001
[m5_robust] a=2.50 wd=0.100 k=0 inj=unif b=128 B=60k s0 | unif= 0.260 hi= 0.981 | TRAP d=32 lr=0.001
[m5_robust] a=2.50 wd=0.100 k=0 inj=unif b=128 B=60k s1 | unif= 0.255 hi= 0.979 | TRAP d=32 lr=0.001
[m5_robust] a=2.50 wd=0.100 k=0 inj=unif b=128 B=60k s2 | unif= 0.222 hi= 0.971 | TRAP d=32 lr=0.001
[m5_robust] a=2.50 wd=0.050 k=0 inj=unif b=128 B=60k s0 | unif= 0.966 hi= 1.000 | GROK d=128 lr=0.001
[m5_robust] a=2.50 wd=0.050 k=0 inj=unif b=128 B=60k s1 | unif= 0.988 hi= 0.999 | GROK d=128 lr=0.001
[m5_robust] a=2.50 wd=0.050 k=0 inj=unif b=128 B=60k s2 | unif= 0.983 hi= 1.000 | GROK d=128 lr=0.001
[m5_robust] a=2.50 wd=0.100 k=0 inj=unif b=128 B=60k s0 | unif= 0.762 hi= 0.999 | PARTIAL d=128 lr=0.001
[m5_robust] a=2.50 wd=0.100 k=0 inj=unif b=128 B=60k s1 | unif= 0.910 hi= 0.998 | GROK d=128 lr=0.001
[m5_robust] a=2.50 wd=0.100 k=0 inj=unif b=128 B=60k s2 | unif= 0.940 hi= 0.998 | GROK d=128 lr=0.001
[m5_robust] a=2.50 wd=0.085 k=0 inj=unif b=128 B=60k s0 | unif= 0.946 hi= 1.000 | GROK d=64 lr=0.0005
[m5_robust] a=2.50 wd=0.085 k=0 inj=unif b=128 B=60k s1 | unif= 0.961 hi= 1.000 | GROK d=64 lr=0.0005
[m5_robust] a=2.50 wd=0.085 k=0 inj=unif b=128 B=60k s2 | unif= 0.995 hi= 1.000 | GROK d=64 lr=0.0005
[m5_robust] a=2.50 wd=0.085 k=0 inj=unif b=128 B=60k s0 | unif= 0.898 hi= 1.000 | PARTIAL d=64 lr=0.002
[m5_robust] a=2.50 wd=0.085 k=0 inj=unif b=128 B=60k s1 | unif= 0.798 hi= 0.996 | PARTIAL d=64 lr=0.002
[m5_robust] a=2.50 wd=0.085 k=0 inj=unif b=128 B=60k s2 | unif= 0.626 hi= 0.996 | PARTIAL d=64 lr=0.002
[m5_robust] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s0 | unif= 0.997 hi= 1.000 | GROK d=64 lr=0.0005
[m5_robust] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s1 | unif= 0.947 hi= 1.000 | GROK d=64 lr=0.0005
[m5_robust] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s2 | unif= 0.992 hi= 1.000 | GROK d=64 lr=0.0005
[m5_robust] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s0 | unif= 0.930 hi= 0.997 | GROK d=64 lr=0.002
[m5_robust] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s1 | unif= 0.742 hi= 0.996 | PARTIAL d=64 lr=0.002
[m5_robust] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s2 | unif= 0.754 hi= 0.998 | PARTIAL d=64 lr=0.002
[m5_robust] a=2.50 wd=0.300 k=0 inj=unif b=512 B=15k s0 | unif= 0.278 hi= 0.972 | TRAP d=64 lr=0.001
[m5_robust] a=2.50 wd=0.300 k=0 inj=unif b=512 B=15k s1 | unif= 0.278 hi= 0.988 | TRAP d=64 lr=0.001
