a=0.00 wd=0.05 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=0.00 wd=0.05 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (31s)
a=0.00 wd=0.05 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=0.00 wd=0.10 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=0.00 wd=0.10 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=0.00 wd=0.10 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=0.00 wd=0.30 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=0.00 wd=0.30 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=0.00 wd=0.30 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=0.00 wd=0.50 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=0.00 wd=0.50 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=0.00 wd=0.50 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=0.00 wd=1.00 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=0.00 wd=1.00 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=0.00 wd=1.00 s2 | unif= 0.999 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=0.05 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=0.05 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=0.05 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=0.10 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=0.10 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=0.10 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=0.30 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=0.30 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=0.30 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=0.50 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=0.50 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=0.50 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=1.00 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=1.00 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=1.00 wd=1.00 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.00 wd=0.05 s0 | unif= 0.999 hi= 1.000 lo= 0.998 | GROK (32s)
a=2.00 wd=0.05 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.00 wd=0.05 s2 | unif= 0.997 hi= 1.000 lo= 0.995 | GROK (32s)
a=2.00 wd=0.10 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.00 wd=0.10 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.00 wd=0.10 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.00 wd=0.30 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.00 wd=0.30 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.00 wd=0.30 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.00 wd=0.50 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.00 wd=0.50 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.00 wd=0.50 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.00 wd=1.00 s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.00 wd=1.00 s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.00 wd=1.00 s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (32s)
a=2.50 wd=0.05 s0 | unif= 0.581 hi= 1.000 lo= 0.368 | PARTIAL (32s)
a=2.50 wd=0.05 s1 | unif= 0.636 hi= 1.000 lo= 0.405 | PARTIAL (32s)
a=2.50 wd=0.05 s2 | unif= 0.544 hi= 1.000 lo= 0.331 | PARTIAL (32s)
a=2.50 wd=0.10 s0 | unif= 0.632 hi= 1.000 lo= 0.435 | PARTIAL (32s)
