[m9_densify] a=1.70 wd=0.168 k=0 inj=unif b=128 B=60k s0 | unif= 0.996 hi= 1.000 | GROK
[m9_densify] a=1.70 wd=0.168 k=0 inj=unif b=128 B=60k s1 | unif= 0.990 hi= 1.000 | GROK
[m9_densify] a=1.70 wd=0.168 k=0 inj=unif b=128 B=60k s2 | unif= 0.992 hi= 0.999 | GROK
[m9_densify] a=1.70 wd=0.168 k=0 inj=unif b=128 B=60k s3 | unif= 0.987 hi= 0.999 | GROK
[m9_densify] a=1.70 wd=0.168 k=0 inj=unif b=128 B=60k s4 | unif= 0.999 hi= 1.000 | GROK
[m9_densify] a=1.70 wd=0.168 k=0 inj=unif b=128 B=60k s5 | unif= 0.999 hi= 1.000 | GROK
[m9_densify] a=1.70 wd=0.168 k=0 inj=unif b=128 B=60k s6 | unif= 0.998 hi= 1.000 | GROK
[m9_densify] a=1.70 wd=0.168 k=0 inj=unif b=128 B=60k s7 | unif= 0.987 hi= 1.000 | GROK
[m9_densify] a=1.70 wd=0.240 k=0 inj=unif b=128 B=60k s0 | unif= 0.984 hi= 0.999 | GROK
[m9_densify] a=1.70 wd=0.240 k=0 inj=unif b=128 B=60k s1 | unif= 0.981 hi= 1.000 | GROK
[m9_densify] a=1.70 wd=0.240 k=0 inj=unif b=128 B=60k s2 | unif= 0.986 hi= 0.999 | GROK
[m9_densify] a=1.70 wd=0.240 k=0 inj=unif b=128 B=60k s3 | unif= 0.973 hi= 1.000 | GROK
[m9_densify] a=1.70 wd=0.240 k=0 inj=unif b=128 B=60k s4 | unif= 0.991 hi= 1.000 | GROK
[m9_densify] a=1.70 wd=0.240 k=0 inj=unif b=128 B=60k s5 | unif= 0.983 hi= 1.000 | GROK
[m9_densify] a=1.70 wd=0.240 k=0 inj=unif b=128 B=60k s6 | unif= 0.986 hi= 1.000 | GROK
[m9_densify] a=1.70 wd=0.240 k=0 inj=unif b=128 B=60k s7 | unif= 0.975 hi= 0.998 | GROK
[m9_densify] a=1.70 wd=0.312 k=0 inj=unif b=128 B=60k s0 | unif= 0.978 hi= 1.000 | GROK
[m9_densify] a=1.70 wd=0.312 k=0 inj=unif b=128 B=60k s1 | unif= 0.962 hi= 0.999 | GROK
[m9_densify] a=1.70 wd=0.312 k=0 inj=unif b=128 B=60k s2 | unif= 0.972 hi= 0.998 | GROK
[m9_densify] a=1.70 wd=0.312 k=0 inj=unif b=128 B=60k s3 | unif= 0.983 hi= 0.999 | GROK
[m9_densify] a=1.70 wd=0.312 k=0 inj=unif b=128 B=60k s4 | unif= 0.963 hi= 0.999 | GROK
[m9_densify] a=1.70 wd=0.312 k=0 inj=unif b=128 B=60k s5 | unif= 0.979 hi= 0.999 | GROK
[m9_densify] a=1.70 wd=0.312 k=0 inj=unif b=128 B=60k s6 | unif= 0.971 hi= 1.000 | GROK
[m9_densify] a=1.70 wd=0.312 k=0 inj=unif b=128 B=60k s7 | unif= 0.833 hi= 0.998 | PARTIAL
[m9_densify] a=1.90 wd=0.139 k=0 inj=unif b=128 B=60k s0 | unif= 0.817 hi= 0.998 | PARTIAL
[m9_densify] a=1.90 wd=0.139 k=0 inj=unif b=128 B=60k s1 | unif= 0.987 hi= 1.000 | GROK
[m9_densify] a=1.90 wd=0.139 k=0 inj=unif b=128 B=60k s2 | unif= 0.922 hi= 1.000 | GROK
[m9_densify] a=1.90 wd=0.139 k=0 inj=unif b=128 B=60k s3 | unif= 0.943 hi= 1.000 | GROK
[m9_densify] a=1.90 wd=0.139 k=0 inj=unif b=128 B=60k s4 | unif= 0.929 hi= 1.000 | GROK
[m9_densify] a=1.90 wd=0.139 k=0 inj=unif b=128 B=60k s5 | unif= 0.989 hi= 0.998 | GROK
[m9_densify] a=1.90 wd=0.139 k=0 inj=unif b=128 B=60k s6 | unif= 0.995 hi= 1.000 | GROK
[m9_densify] a=1.90 wd=0.139 k=0 inj=unif b=128 B=60k s7 | unif= 0.942 hi= 1.000 | GROK
[m9_densify] a=1.90 wd=0.199 k=0 inj=unif b=128 B=60k s0 | unif= 0.971 hi= 0.998 | GROK
[m9_densify] a=1.90 wd=0.199 k=0 inj=unif b=128 B=60k s1 | unif= 0.978 hi= 1.000 | GROK
[m9_densify] a=1.90 wd=0.199 k=0 inj=unif b=128 B=60k s2 | unif= 0.962 hi= 0.998 | GROK
[m9_densify] a=1.90 wd=0.199 k=0 inj=unif b=128 B=60k s3 | unif= 0.969 hi= 1.000 | GROK
[m9_densify] a=1.90 wd=0.199 k=0 inj=unif b=128 B=60k s4 | unif= 0.952 hi= 0.997 | GROK
[m9_densify] a=1.90 wd=0.199 k=0 inj=unif b=128 B=60k s5 | unif= 0.860 hi= 0.997 | PARTIAL
[m9_densify] a=1.90 wd=0.199 k=0 inj=unif b=128 B=60k s6 | unif= 0.975 hi= 0.998 | GROK
[m9_densify] a=1.90 wd=0.199 k=0 inj=unif b=128 B=60k s7 | unif= 0.950 hi= 0.999 | GROK
[m9_densify] a=1.90 wd=0.258 k=0 inj=unif b=128 B=60k s0 | unif= 0.887 hi= 0.995 | PARTIAL
[m9_densify] a=1.90 wd=0.258 k=0 inj=unif b=128 B=60k s1 | unif= 0.944 hi= 0.995 | GROK
[m9_densify] a=1.90 wd=0.258 k=0 inj=unif b=128 B=60k s2 | unif= 0.937 hi= 0.999 | GROK
[m9_densify] a=1.90 wd=0.258 k=0 inj=unif b=128 B=60k s3 | unif= 0.911 hi= 0.986 | GROK
[m9_densify] a=1.90 wd=0.258 k=0 inj=unif b=128 B=60k s4 | unif= 0.961 hi= 0.999 | GROK
[m9_densify] a=1.90 wd=0.258 k=0 inj=unif b=128 B=60k s5 | unif= 0.976 hi= 0.999 | GROK
[m9_densify] a=1.90 wd=0.258 k=0 inj=unif b=128 B=60k s6 | unif= 0.922 hi= 0.998 | GROK
[m9_densify] a=1.90 wd=0.258 k=0 inj=unif b=128 B=60k s7 | unif= 0.840 hi= 0.995 | PARTIAL
[m9_densify] a=2.05 wd=0.121 k=0 inj=unif b=128 B=60k s0 | unif= 0.897 hi= 0.999 | PARTIAL
[m9_densify] a=2.05 wd=0.121 k=0 inj=unif b=128 B=60k s1 | unif= 0.990 hi= 1.000 | GROK
[m9_densify] a=2.05 wd=0.121 k=0 inj=unif b=128 B=60k s2 | unif= 0.991 hi= 1.000 | GROK
[m9_densify] a=2.05 wd=0.121 k=0 inj=unif b=128 B=60k s3 | unif= 0.996 hi= 1.000 | GROK
[m9_densify] a=2.05 wd=0.121 k=0 inj=unif b=128 B=60k s4 | unif= 1.000 hi= 1.000 | GROK
[m9_densify] a=2.05 wd=0.121 k=0 inj=unif b=128 B=60k s5 | unif= 0.992 hi= 1.000 | GROK
