P10 fine boundary scan: n=10 init=10.0 batch=128 steps=60000 cosine
36 runs (~0.9h)

a=2.00 wd=0.15 | s3 unif= 0.993 hi= 1.000 lo= 0.989 | GROK (95s)
a=2.00 wd=0.15 | s4 unif= 0.946 hi= 1.000 lo= 0.915 | GROK (93s)
a=2.00 wd=0.20 | s3 unif= 0.902 hi= 0.999 lo= 0.842 | GROK (96s)
a=2.00 wd=0.20 | s4 unif= 0.929 hi= 1.000 lo= 0.875 | GROK (93s)
a=2.00 wd=0.35 | s0 unif= 0.863 hi= 0.990 lo= 0.818 | PARTIAL (94s)
a=2.00 wd=0.35 | s1 unif= 0.484 hi= 0.977 lo= 0.224 | TRAP (93s)
a=2.00 wd=0.35 | s2 unif= 0.808 hi= 0.993 lo= 0.727 | PARTIAL (93s)
a=2.00 wd=0.35 | s3 unif= 0.615 hi= 0.981 lo= 0.464 | PARTIAL (93s)
a=2.00 wd=0.35 | s4 unif= 0.870 hi= 0.991 lo= 0.822 | PARTIAL (93s)
a=2.00 wd=0.40 | s0 unif= 0.897 hi= 0.996 lo= 0.842 | PARTIAL (93s)
a=2.00 wd=0.40 | s1 unif= 0.863 hi= 0.996 lo= 0.801 | PARTIAL (93s)
a=2.00 wd=0.40 | s2 unif= 0.762 hi= 0.989 lo= 0.667 | PARTIAL (94s)
a=2.00 wd=0.40 | s3 unif= 0.540 hi= 0.975 lo= 0.346 | PARTIAL (94s)
a=2.00 wd=0.40 | s4 unif= 0.952 hi= 0.996 lo= 0.939 | GROK (93s)
a=2.00 wd=0.45 | s0 unif= 0.631 hi= 0.976 lo= 0.511 | PARTIAL (93s)
a=2.00 wd=0.45 | s1 unif= 0.633 hi= 0.965 lo= 0.502 | PARTIAL (94s)
a=2.00 wd=0.45 | s2 unif= 0.788 hi= 0.991 lo= 0.709 | PARTIAL (94s)
a=2.00 wd=0.45 | s3 unif= 0.842 hi= 0.990 lo= 0.777 | PARTIAL (93s)
a=2.00 wd=0.45 | s4 unif= 0.550 hi= 0.972 lo= 0.374 | PARTIAL (93s)
a=2.10 wd=0.05 | s0 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (95s)
a=2.10 wd=0.05 | s1 unif= 0.999 hi= 1.000 lo= 0.997 | GROK (93s)
a=2.10 wd=0.05 | s2 unif= 0.998 hi= 1.000 lo= 0.997 | GROK (93s)
