P10b gap fill: n=10 runs=48 (~1.3h)

a=2.00 wd=0.320 | s0 unif= 0.811 hi= 0.988 lo= 0.738 | PARTIAL (93s)
a=2.00 wd=0.320 | s1 unif= 0.871 hi= 0.996 lo= 0.827 | PARTIAL (92s)
a=2.00 wd=0.320 | s2 unif= 0.877 hi= 0.992 lo= 0.829 | PARTIAL (92s)
a=2.10 wd=0.170 | s0 unif= 0.916 hi= 0.996 lo= 0.875 | GROK (93s)
a=2.10 wd=0.170 | s1 unif= 0.897 hi= 0.997 lo= 0.838 | PARTIAL (92s)
a=2.10 wd=0.170 | s2 unif= 0.937 hi= 0.997 lo= 0.907 | GROK (94s)
a=2.10 wd=0.180 | s0 unif= 0.992 hi= 1.000 lo= 0.990 | GROK (92s)
a=2.10 wd=0.180 | s1 unif= 0.920 hi= 0.994 lo= 0.897 | GROK (92s)
a=2.10 wd=0.180 | s2 unif= 0.868 hi= 0.994 lo= 0.776 | PARTIAL (93s)
a=2.40 wd=0.090 | s0 unif= 0.916 hi= 1.000 lo= 0.849 | GROK (93s)
a=2.40 wd=0.090 | s1 unif= 0.987 hi= 1.000 lo= 0.979 | GROK (92s)
a=2.40 wd=0.090 | s2 unif= 0.989 hi= 1.000 lo= 0.980 | GROK (92s)
a=2.40 wd=0.100 | s0 unif= 0.978 hi= 1.000 lo= 0.961 | GROK (92s)
a=2.40 wd=0.100 | s1 unif= 0.908 hi= 1.000 lo= 0.857 | GROK (92s)
a=2.40 wd=0.100 | s2 unif= 0.941 hi= 1.000 lo= 0.904 | GROK (93s)
a=2.40 wd=0.120 | s0 unif= 0.815 hi= 0.992 lo= 0.726 | PARTIAL (94s)
a=2.40 wd=0.120 | s1 unif= 0.910 hi= 0.998 lo= 0.859 | GROK (92s)
a=2.40 wd=0.120 | s2 unif= 0.854 hi= 0.999 lo= 0.750 | PARTIAL (93s)
a=2.40 wd=0.140 | s0 unif= 0.318 hi= 0.965 lo= 0.087 | TRAP (92s)
a=2.40 wd=0.140 | s1 unif= 0.216 hi= 0.958 lo= 0.008 | TRAP (92s)
a=2.40 wd=0.140 | s2 unif= 0.919 hi= 0.999 lo= 0.898 | GROK (93s)
a=2.60 wd=0.070 | s0 unif= 0.808 hi= 0.996 lo= 0.701 | PARTIAL (92s)
a=2.60 wd=0.070 | s1 unif= 0.965 hi= 1.000 lo= 0.938 | GROK (92s)
a=2.60 wd=0.070 | s2 unif= 0.914 hi= 1.000 lo= 0.857 | GROK (94s)
a=2.60 wd=0.080 | s0 unif= 0.917 hi= 1.000 lo= 0.858 | GROK (92s)
a=2.60 wd=0.080 | s1 unif= 0.751 hi= 0.998 lo= 0.571 | PARTIAL (93s)
a=2.60 wd=0.080 | s2 unif= 0.915 hi= 1.000 lo= 0.846 | GROK (92s)
a=2.60 wd=0.090 | s0 unif= 0.798 hi= 0.998 lo= 0.661 | PARTIAL (92s)
a=2.60 wd=0.090 | s1 unif= 0.939 hi= 0.997 lo= 0.905 | GROK (92s)
a=2.60 wd=0.090 | s2 unif= 0.876 hi= 0.994 lo= 0.811 | PARTIAL (93s)
a=2.60 wd=0.100 | s0 unif= 0.314 hi= 0.936 lo= 0.112 | TRAP (94s)
a=2.60 wd=0.100 | s1 unif= 0.779 hi= 1.000 lo= 0.601 | PARTIAL (91s)
a=2.60 wd=0.100 | s2 unif= 0.664 hi= 0.993 lo= 0.459 | PARTIAL (92s)
a=2.75 wd=0.020 | s0 unif= 0.459 hi= 0.940 lo= 0.232 | TRAP (92s)
a=2.75 wd=0.020 | s1 unif= 0.873 hi= 0.984 lo= 0.800 | PARTIAL (92s)
a=2.75 wd=0.020 | s2 unif= 0.624 hi= 0.989 lo= 0.434 | PARTIAL (93s)
a=2.75 wd=0.025 | s0 unif= 0.660 hi= 1.000 lo= 0.345 | PARTIAL (92s)
a=2.75 wd=0.025 | s1 unif= 0.874 hi= 0.999 lo= 0.800 | PARTIAL (93s)
a=2.75 wd=0.025 | s2 unif= 0.738 hi= 1.000 lo= 0.499 | PARTIAL (92s)
a=2.75 wd=0.035 | s0 unif= 0.798 hi= 1.000 lo= 0.605 | PARTIAL (93s)
a=2.75 wd=0.035 | s1 unif= 0.911 hi= 1.000 lo= 0.842 | GROK (92s)
a=2.75 wd=0.035 | s2 unif= 0.872 hi= 1.000 lo= 0.747 | PARTIAL (93s)
a=2.90 wd=0.035 | s0 unif= 0.432 hi= 0.990 lo= 0.053 | TRAP (92s)
a=2.90 wd=0.035 | s1 unif= 0.806 hi= 1.000 lo= 0.634 | PARTIAL (92s)
a=2.90 wd=0.035 | s2 unif= 0.496 hi= 0.990 lo= 0.032 | TRAP (92s)
a=2.90 wd=0.045 | s0 unif= 0.882 hi= 1.000 lo= 0.777 | PARTIAL (93s)
a=2.90 wd=0.045 | s1 unif= 0.957 hi= 1.000 lo= 0.927 | GROK (92s)
a=2.90 wd=0.045 | s2 unif= 0.754 hi= 0.997 lo= 0.573 | PARTIAL (95s)

elapsed 4433s -> results/p10b_gap_fill.json
