P11 n=12 grid: n=12 init=10.0 batch=128 steps=60000 cosine
alphas=[0.0, 1.0, 2.0, 2.25, 2.5, 2.75, 3.0]
wds=[0.05, 0.1, 0.15, 0.2, 0.3, 0.5]

a=0.00 wd=0.05 | s0 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (101s)
a=0.00 wd=0.05 | s1 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (99s)
a=0.00 wd=0.05 | s2 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (98s)
a=0.00 wd=0.10 | s0 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (98s)
a=0.00 wd=0.10 | s1 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (98s)
a=0.00 wd=0.10 | s2 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (99s)
a=0.00 wd=0.15 | s0 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (99s)
a=0.00 wd=0.15 | s1 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (99s)
a=0.00 wd=0.15 | s2 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (99s)
a=0.00 wd=0.20 | s0 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (99s)
a=0.00 wd=0.20 | s1 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
a=0.00 wd=0.20 | s2 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
a=0.00 wd=0.30 | s0 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (98s)
a=0.00 wd=0.30 | s1 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (99s)
a=0.00 wd=0.30 | s2 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (101s)
a=0.00 wd=0.50 | s0 unif= 0.991 hi= 0.989 lo= 0.991 | GROK (99s)
a=0.00 wd=0.50 | s1 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (101s)
a=0.00 wd=0.50 | s2 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (99s)
a=1.00 wd=0.05 | s0 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (98s)
a=1.00 wd=0.05 | s1 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (99s)
a=1.00 wd=0.05 | s2 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (98s)
a=1.00 wd=0.10 | s0 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (99s)
a=1.00 wd=0.10 | s1 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (100s)
a=1.00 wd=0.10 | s2 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (101s)
a=1.00 wd=0.15 | s0 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (99s)
a=1.00 wd=0.15 | s1 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (99s)
a=1.00 wd=0.15 | s2 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (98s)
a=1.00 wd=0.20 | s0 unif= 1.000 hi= 1.000 lo= 0.999 | GROK (98s)
a=1.00 wd=0.20 | s1 unif= 0.999 hi= 1.000 lo= 0.999 | GROK (100s)
a=1.00 wd=0.20 | s2 unif= 1.000 hi= 1.000 lo= 1.000 | GROK (99s)
a=1.00 wd=0.30 | s0 unif= 0.998 hi= 1.000 lo= 0.998 | GROK (99s)
a=1.00 wd=0.30 | s1 unif= 0.998 hi= 1.000 lo= 0.998 | GROK (99s)
a=1.00 wd=0.30 | s2 unif= 0.998 hi= 1.000 lo= 0.998 | GROK (99s)
a=1.00 wd=0.50 | s0 unif= 0.998 hi= 1.000 lo= 0.997 | GROK (98s)
a=1.00 wd=0.50 | s1 unif= 0.998 hi= 1.000 lo= 0.997 | GROK (99s)
a=1.00 wd=0.50 | s2 unif= 0.998 hi= 1.000 lo= 0.997 | GROK (99s)
a=2.00 wd=0.05 | s0 unif= 0.993 hi= 1.000 lo= 0.988 | GROK (99s)
a=2.00 wd=0.05 | s1 unif= 0.991 hi= 1.000 lo= 0.984 | GROK (98s)
a=2.00 wd=0.05 | s2 unif= 0.998 hi= 1.000 lo= 0.997 | GROK (100s)
a=2.00 wd=0.10 | s0 unif= 0.994 hi= 1.000 lo= 0.992 | GROK (98s)
a=2.00 wd=0.10 | s1 unif= 0.990 hi= 1.000 lo= 0.987 | GROK (99s)
a=2.00 wd=0.10 | s2 unif= 0.998 hi= 1.000 lo= 0.997 | GROK (98s)
a=2.00 wd=0.15 | s0 unif= 0.914 hi= 0.998 lo= 0.846 | GROK (98s)
a=2.00 wd=0.15 | s1 unif= 0.829 hi= 0.996 lo= 0.744 | PARTIAL (100s)
a=2.00 wd=0.15 | s2 unif= 0.989 hi= 1.000 lo= 0.983 | GROK (98s)
a=2.00 wd=0.20 | s0 unif= 0.840 hi= 0.970 lo= 0.797 | PARTIAL (99s)
a=2.00 wd=0.20 | s1 unif= 0.953 hi= 0.999 lo= 0.928 | GROK (99s)
a=2.00 wd=0.20 | s2 unif= 0.944 hi= 0.998 lo= 0.908 | GROK (99s)
a=2.00 wd=0.30 | s0 unif= 0.770 hi= 0.976 lo= 0.703 | PARTIAL (98s)
a=2.00 wd=0.30 | s1 unif= 0.855 hi= 0.983 lo= 0.803 | PARTIAL (98s)
a=2.00 wd=0.30 | s2 unif= 0.770 hi= 0.981 lo= 0.678 | PARTIAL (99s)
a=2.00 wd=0.50 | s0 unif= 0.671 hi= 0.942 lo= 0.543 | PARTIAL (98s)
a=2.00 wd=0.50 | s1 unif= 0.272 hi= 0.770 lo= 0.073 | CRUSH (99s)
a=2.00 wd=0.50 | s2 unif= 0.637 hi= 0.962 lo= 0.430 | PARTIAL (99s)
